UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
13 000000007390020,0
13 000000008150650,0
13 000000008700080,0
13 000000008700090,0
13 000000008700140,0
13 000000008951770,0
13 000000009990010,0
13 000000009990020,0
13 000000010300250,0
13 000000010300260,0
13 000000010390010,0
13 000000012700420,0
13 000000012700510,0
13 000000012700620,0
13 000000012700640,0
13 000000012700750,0
13 000000012700770,0
13 000000012750080,0
13 000000012750090,0
13 000000012750200,8114
13 000000017900380,0
13 000000017900390,0
13 000000019100070,0
13 000000023990010,0
13 000000024350420,0
13 000000024500090,0
13 000000024500210,0
13 000000024590010,0
13 000000024590020,0
13 000000025190010,0
13 000000025300060,0
13 000000025990010,0
13 000000027350380,0
13 000000028550920,0
13 000000032151250,0
13 000000032151260,0
15 1HI0320,605
15 001230001100001,0
15 003000920400861,3
15 003074001400490,0
16 000000000010000,0
16 000000000010010,0
16 000000000010035,0
16 000000000010141,0
16 000000000010206,0
16 000000000010211,0
16 000000000010360,0
16 000000000010375,0
16 000000000010390,0
16 000000000012200,0
16 000000000013795,0
16 000000000013811,0
16 000000000014300,0
16 000000000014565,0
16 000000000014671,0
16 000000000015315,0
16 000000000015320,0
16 000000000016735,0
16 000000000016740,0
16 000000000016905,0
16 000000000016910,0
16 000000000017885,0
16 000000000017890,0
16 000000000018050,0
16 000000000018331,0
16 000000000018350,0
16 000000000018355,0
16 000000000018465,0
16 000000000018675,0
16 000000000018680,0
16 000000000018715,0
16 000000000018725,0
16 000000000018770,0
16 000000000018796,0
16 000000000018801,0
16 000000000018896,0
16 000000000018901,0
16 000000000019050,0
16 000000000019920,0
16 000000000020295,0
16 000000000020355,0
16 000000000020440,0
16 000000000020615,0
16 000000000020620,0
16 000000000020630,0
16 000000000020655,0
16 000000000020661,0
16 000000000020666,0
16 000000000020670,0
16 000000000020725,0
16 000000000021495,0
16 000000000026394,0
16 000000000029030,0
16 000000000029100,0
16 000000000029360,0
16 000000000029385,0
16 000000000029398,0
16 000000000029961,0
16 000000000029965,0
16 000000000030055,0
16 000000000030110,0
16 000000000030127,0
16 000000000030145,0
16 000000000030275,0
16 000000000030336,0
16 000000000030415,0
16 000000000030510,0
16 000000000030543,0
16 000000000033700,0
16 000000000033705,0
16 000000000037075,0
17 000000000819903,0
17 001001900000000,0
17 001006800000000,0
17 002000500000000,0
17 002000600000000,0
17 002002200000000,0
17 002003600000000,0
17 006995200000000,0
17 008005200000000,0
17 009000100000000,0
17 016001400000000,0
17 016001500000000,0
17 016006400000000,0
17 016006500000000,0
17 016015800000000,64
17 016015900000000,64
17 016019300000000,0
17 016020200000000,0
17 016029400000000,0
17 016031500000000,0
17 016032300000000,0
17 016034300000000,0
17 016034400000000,0
17 016042100000000,0
17 016042500000000,0
17 016042700000000,0
17 016046400000000,0
17 016048600000000,0
17 016048700000000,0
17 016054000000000,0
17 016057000000000,0
17 016074800000000,0
17 016076200000000,0
17 016077700000000,0
17 016099100000000,0
17 016106600000000,0
17 016107000000000,0
17 016108500000000,0
17 016108600000000,0
17 016111400000000,0
17 016195800000000,0
17 016195900000000,0
17 016240800000000,0
17 016244500000000,0
17 016246800000000,0
17 016250400000000,0
17 016252800000000,0
17 016267500000000,0
17 016301800000000,0
17 016302500000000,0
17 016321000000000,0
17 016324000000000,0
17 016500500000000,0
17 016600100000000,0
17 016600200000000,0
17 016600300000000,0
17 016600400000000,0
17 016600500000000,0
17 016600600000000,0
17 016600700000000,0
17 016600800000000,0
17 016600900000000,0
17 016601000000000,0
17 016601100000000,0
17 016601300000000,0
17 016601400000000,0
17 016601500000000,0
17 016601600000000,0
17 016601700000000,0
17 016602000000000,0
17 016602100000000,0
17 016602300000000,0
17 016602400000000,0
17 016602500000000,0
17 016602600000000,0
17 016602800000000,0
17 016602900000000,0
17 016603000000000,0
17 016603200000000,0
17 016603300000000,0
17 016603400000000,0
17 016603500000000,0
17 016603600000000,0
17 016603700000000,1856
17 016603800000000,1766
17 016604200000000,1262
17 016604300000000,393
17 016604500000000,0
17 016604700000000,0
17 016604800000000,0
17 016605000000000,299
17 016605100000000,0
17 016605200000000,0
17 016605300000000,0
17 016605400000000,0
17 016605600000000,0
17 016605700000000,0
17 016607000000000,0
17 016607100000000,0
17 016607700000000,0
17 016608000000000,0
17 016608100000000,0
17 016608400000000,0
17 016608900000000,167
17 016609200000000,0
17 016610100000000,0
17 016610200000000,0
17 016610400000000,0
17 016614800000000,0
17 016619700000000,0
17 016641900000000,1648
17 016652700000000,0
17 016653100000000,0
17 016984600000000,0
17 016984700000000,0
17 031000100000000,0
17 032009900000000,0
17 034006200000000,0
17 034990200000000,0
17 036004800000000,0
17 037002100000000,0
17 037002200000000,0
17 037012800000000,0
17 037014900000000,0
17 039003600000000,0
17 043000100000000,0
17 050007900000000,0
17 050018000000000,0
17 050019100000000,0
17 050021900000000,0
17 050023700000000,0
17 050024600000000,0
17 050025600000000,0
17 052006300000000,0
17 052007200000000,0
17 056004900000000,0
17 058602600000000,0
17 060003500000000,0
17 060006800000000,0
17 060025500000000,0
17 060034500000000,0
17 060035000000000,0
17 060600200000000,0
17 062000300000000,0
17 062003600000000,0
17 063000200000000,0
17 064003500000000,0
17 067001900000000,0
17 067002000000000,0
17 069052500000000,0
17 071004000000000,0
17 071008800000000,0
17 075012200000000,0
17 075012300000000,0
17 075015100000000,0
17 075991100000000,0
17 078000100000000,0
17 078004700000000,0
